Neoplasm,Level,Parent,Malignant Primary,Malignant Secondary,Ca in situ,Benign,Uncertain Behavior,Unspecified Behavior
flank NEC,1,Neoplasm, neoplastic,C76.8,C79.89,D04.5,D36.7,D48.7,D49.89
"follicle, nabothian",1,Neoplasm, neoplastic,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
foot NEC,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
forearm NEC,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
forehead(skin),1,Neoplasm, neoplastic,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
basal cell carcinoma,2,forehead(skin),C44.319,,,,,
specified type NEC,2,forehead(skin),C44.399,,,,,
squamous cell carcinoma,2,forehead(skin),C44.329,,,,,
foreskin,1,Neoplasm, neoplastic,C60.0,C79.82,D07.4,D29.0,D40.8,D49.59
fornix,1,Neoplasm, neoplastic,,,,,,
pharyngeal,2,fornix,C11.3,C79.89,D00.08,D10.6,D37.05,D49.0
vagina,2,fornix,C52,C79.82,D07.2,D28.1,D39.8,D49.59
fossa(of),1,Neoplasm, neoplastic,,,,,,
anterior(cranial),2,fossa(of),C71.9,C79.31,,D33.2,D43.2,D49.6
cranial,2,fossa(of),C71.9,C79.31,,D33.2,D43.2,D49.6
ischiorectal,2,fossa(of),C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
middle(cranial),2,fossa(of),C71.9,C79.31,,D33.2,D43.2,D49.6
piriform,2,fossa(of),C12,C79.89,D00.08,D10.7,D37.05,D49.0
pituitary,2,fossa(of),C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
posterior(cranial),2,fossa(of),C71.9,C79.31,,D33.2,D43.2,D49.6
pterygoid,2,fossa(of),C49.0,C79.89,,D21.0,D48.1,D49.2
pyriform,2,fossa(of),C12,C79.89,D00.08,D10.7,D37.05,D49.0
Rosenmuller,2,fossa(of),C11.2,C79.89,D00.08,D10.6,D37.05,D49.0
tonsillar,2,fossa(of),C09.0,C79.89,D00.08,D10.5,D37.05,D49.0
fourchette,1,Neoplasm, neoplastic,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
frenulum,1,Neoplasm, neoplastic,,,,,,
labii,2,frenulum,,,,,,
linguae,2,frenulum,C02.2,C79.89,D00.07,D10.1,D37.02,D49.0
frontal,1,Neoplasm, neoplastic,,,,,,
bone,2,frontal,C41.0,C79.51,,D16.4-,D48.0,D49.2
"lobe, brain",2,frontal,C71.1,C79.31,,D33.0,D43.0,D49.6
pole,2,frontal,C71.1,C79.31,,D33.0,D43.0,D49.6
sinus,2,frontal,C31.2,C78.39,D02.3,D14.0,D38.5,D49.1
fundus,1,Neoplasm, neoplastic,,,,,,
stomach,2,fundus,C16.1,C78.89,D00.2,D13.1,D37.1,D49.0
uterus,2,fundus,C54.3,C79.82,D07.0,D26.1,D39.0,D49.59
gall duct(extrahepatic),1,Neoplasm, neoplastic,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
intrahepatic,2,gall duct(extrahepatic),C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
gallbladder,1,Neoplasm, neoplastic,C23,C78.89,D01.5,D13.5,D37.6,D49.0
overlapping lesion with extrahepatic bile ducts,2,gallbladder,C24.8,,,,,
ganglia,1,Neoplasm, neoplastic,C47.9,C79.89,,D36.10,D48.2,D49.2
basal,2,ganglia,C71.0,C79.31,,D33.0,D43.0,D49.6
cranial nerve,2,ganglia,C72.50,C79.49,,D33.3,D43.3,D49.7
Gartner's duct,1,Neoplasm, neoplastic,C52,C79.82,D07.2,D28.1,D39.8,D49.59
gastric,1,Neoplasm, neoplastic,,,,,,
gastrocolic,1,Neoplasm, neoplastic,C26.9,C78.89,D01.9,D13.9,D37.9,D49.0
gastroesophageal junction,1,Neoplasm, neoplastic,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
gastrointestinal(tract) NEC,1,Neoplasm, neoplastic,C26.9,C78.89,D01.9,D13.9,D37.9,D49.0
generalized,1,Neoplasm, neoplastic,C80.0,,,,,
genital organ or tract,1,Neoplasm, neoplastic,,,,,,
female NEC,2,genital organ or tract,C57.9,C79.82,D07.30,D28.9,D39.9,D49.59
overlapping lesion,3,female NEC,C57.8,,,,,
specified site NEC,3,female NEC,C57.7,C79.82,D07.39,D28.7,D39.8,D49.59
male NEC,2,genital organ or tract,C63.9,C79.82,D07.60,D29.9,D40.9,D49.59
overlapping lesion,3,male NEC,C63.8,,,,,
specified site NEC,3,male NEC,C63.7,C79.82,D07.69,D29.8,D40.8,D49.59
genitourinary tract,1,Neoplasm, neoplastic,,,,,,
female,2,genitourinary tract,C57.9,C79.82,D07.30,D28.9,D39.9,D49.59
male,2,genitourinary tract,C63.9,C79.82,D07.60,D29.9,D40.9,D49.59
gingiva(alveolar) (marginal),1,Neoplasm, neoplastic,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,2,gingiva(alveolar) (marginal),C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
mandibular,2,gingiva(alveolar) (marginal),C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
maxillary,2,gingiva(alveolar) (marginal),C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
upper,2,gingiva(alveolar) (marginal),C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
"gland, glandular(lymphatic) (system)",1,Neoplasm, neoplastic,,,,,,
endocrine NEC,2,gland, glandular(lymphatic) (system),C75.9,C79.89,D09.3,D35.9,D44.9,D49.7
salivary,2,gland, glandular(lymphatic) (system),,,,,,
glans penis,1,Neoplasm, neoplastic,C60.1,C79.82,D07.4,D29.0,D40.8,D49.59
globus pallidus,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
glomus,1,Neoplasm, neoplastic,,,,,,
coccygeal,2,glomus,C49.5,C79.89,,D21.5,D48.1,D49.2
jugularis,2,glomus,C75.5,C79.89,,D35.6,D44.7,D49.7
glosso-epiglottic fold(s),1,Neoplasm, neoplastic,C10.1,C79.89,D00.08,D10.5,D37.05,D49.0
glossopalatine fold,1,Neoplasm, neoplastic,C09.1,C79.89,D00.08,D10.5,D37.05,D49.0
glossopharyngeal sulcus,1,Neoplasm, neoplastic,C09.0,C79.89,D00.08,D10.5,D37.05,D49.0
glottis,1,Neoplasm, neoplastic,C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
gluteal region,1,Neoplasm, neoplastic,C76.3,C79.89,D04.5,D36.7,D48.7,D49.89
great vessels NEC,1,Neoplasm, neoplastic,C49.3,C79.89,,D21.3,D48.1,D49.2
groin NEC,1,Neoplasm, neoplastic,C76.3,C79.89,D04.5,D36.7,D48.7,D49.89
gum,1,Neoplasm, neoplastic,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,2,gum,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
upper,2,gum,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
hand NEC,1,Neoplasm, neoplastic,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
head NEC,1,Neoplasm, neoplastic,C76.0,C79.89,D04.4,D36.7,D48.7,D49.89
heart,1,Neoplasm, neoplastic,C38.0,C79.89,,D15.1,D48.7,D49.89
heel NEC,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
helix,1,Neoplasm, neoplastic,C44.20-,C79.2,D04.2-,D23.2-,D48.5,D49.2
"hematopoietic, hemopoietic tissue NEC",1,Neoplasm, neoplastic,C96.9,,,,,
specified NEC,2,hematopoietic, hemopoietic tissue NEC,C96.Z,,,,,
"hemisphere, cerebral",1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
hemorrhoidal zone,1,Neoplasm, neoplastic,C21.1,C78.5,D01.3,D12.9,D37.8,D49.0
hepatic,1,Neoplasm, neoplastic,C22.9,C78.7,D01.5,D13.4,D37.6,D49.0
duct(bile),2,hepatic,C24.0,C78.89,D01.5,D13.5,D37.6,D49.0
flexure(colon),2,hepatic,C18.3,C78.5,D01.0,D12.3,D37.4,D49.0
primary,2,hepatic,C22.8,C78.7,D01.5,D13.4,D37.6,D49.0
hepatobiliary,1,Neoplasm, neoplastic,C24.9,C78.89,D01.5,D13.5,D37.6,D49.0
hepatoblastoma,1,Neoplasm, neoplastic,C22.2,C78.7,D01.5,D13.4,D37.6,D49.0
hepatoma,1,Neoplasm, neoplastic,C22.0,C78.7,D01.5,D13.4,D37.6,D49.0
hilus of lung,1,Neoplasm, neoplastic,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
hip NEC,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
"hippocampus, brain",1,Neoplasm, neoplastic,C71.2,C79.31,,D33.0,D43.0,D49.6
humerus(any part),1,Neoplasm, neoplastic,C40.0-,C79.51,,D16.0-,,
hymen,1,Neoplasm, neoplastic,C52,C79.82,D07.2,D28.1,D39.8,D49.59
"hypopharynx, hypopharyngeal NEC",1,Neoplasm, neoplastic,C13.9,C79.89,D00.08,D10.7,D37.05,D49.0
overlapping lesion,2,hypopharynx, hypopharyngeal NEC,C13.8,,,,,
postcricoid region,2,hypopharynx, hypopharyngeal NEC,C13.0,C79.89,D00.08,D10.7,D37.05,D49.0
posterior wall,2,hypopharynx, hypopharyngeal NEC,C13.2,C79.89,D00.08,D10.7,D37.05,D49.0
pyriform fossa(sinus),2,hypopharynx, hypopharyngeal NEC,C12,C79.89,D00.08,D10.7,D37.05,D49.0
hypophysis,1,Neoplasm, neoplastic,C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
hypothalamus,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
"ileocecum, ileocecal(coil) (junction) (valve)",1,Neoplasm, neoplastic,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
ileum,1,Neoplasm, neoplastic,C17.2,C78.4,D01.49,D13.39,D37.2,D49.0
ilium,1,Neoplasm, neoplastic,C41.4,C79.51,,D16.8,D48.0,D49.2
immunoproliferative NEC,1,Neoplasm, neoplastic,C88.9,,,,,
infraclavicular(region),1,Neoplasm, neoplastic,C76.1,C79.89,D04.5,D36.7,D48.7,D49.89
inguinal(region),1,Neoplasm, neoplastic,C76.3,C79.89,D04.5,D36.7,D48.7,D49.89
insula,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
insular tissue(pancreas),1,Neoplasm, neoplastic,C25.4,C78.89,D01.7,D13.7,D37.8,D49.0
brain,2,insular tissue(pancreas),C71.0,C79.31,,D33.0,D43.0,D49.6
interarytenoid fold,1,Neoplasm, neoplastic,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
hypopharyngeal aspect,2,interarytenoid fold,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
laryngeal aspect,2,interarytenoid fold,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
marginal zone,2,interarytenoid fold,C13.1,C79.89,D00.08,D10.7,D37.05,D49.0
interdental papillae,1,Neoplasm, neoplastic,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,2,interdental papillae,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
upper,2,interdental papillae,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
internal,1,Neoplasm, neoplastic,,,,,,
capsule,2,internal,C71.0,C79.31,,D33.0,D43.0,D49.6
os(cervix),2,internal,C53.0,C79.82,D06.0,D26.0,D39.0,D49.59
intervertebral cartilage or disc,1,Neoplasm, neoplastic,C41.2,C79.51,,D16.6,D48.0,D49.2
"intestine, intestinal",1,Neoplasm, neoplastic,C26.0,C78.80,D01.40,D13.9,D37.8,D49.0
large,2,intestine, intestinal,C18.9,C78.5,D01.0,D12.6,D37.4,D49.0
appendix,3,large,C18.1,C78.5,D01.0,D12.1,D37.3,D49.0
caput coli,3,large,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
cecum,3,large,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
colon,3,large,C18.9,C78.5,D01.0,D12.6,D37.4,D49.0
and rectum,4,colon,C19,C78.5,D01.1,D12.7,D37.5,D49.0
ascending,4,colon,C18.2,C78.5,D01.0,D12.2,D37.4,D49.0
caput,4,colon,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
descending,4,colon,C18.6,C78.5,D01.0,D12.4,D37.4,D49.0
distal,4,colon,C18.6,C78.5,D01.0,D12.4,D37.4,D49.0
left,4,colon,C18.6,C78.5,D01.0,D12.4,D37.4,D49.0
overlapping lesion,4,colon,C18.8,,,,,
pelvic,4,colon,C18.7,C78.5,D01.0,D12.5,D37.4,D49.0
right,4,colon,C18.2,C78.5,D01.0,D12.2,D37.4,D49.0
sigmoid(flexure),4,colon,C18.7,C78.5,D01.0,D12.5,D37.4,D49.0
transverse,4,colon,C18.4,C78.5,D01.0,D12.3,D37.4,D49.0
hepatic flexure,3,large,C18.3,C78.5,D01.0,D12.3,D37.4,D49.0
"ileocecum, ileocecal(coil) (valve)",3,large,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
overlapping lesion,3,large,C18.8,,,,,
sigmoid flexure(lower) (upper),3,large,C18.7,C78.5,D01.0,D12.5,D37.4,D49.0
splenic flexure,3,large,C18.5,C78.5,D01.0,D12.3,D37.4,D49.0
small,2,intestine, intestinal,C17.9,C78.4,D01.40,D13.30,D37.2,D49.0
duodenum,3,small,C17.0,C78.4,D01.49,D13.2,D37.2,D49.0
ileum,3,small,C17.2,C78.4,D01.49,D13.39,D37.2,D49.0
jejunum,3,small,C17.1,C78.4,D01.49,D13.39,D37.2,D49.0
overlapping lesion,3,small,C17.8,,,,,
tract NEC,2,intestine, intestinal,C26.0,C78.89,D01.40,D13.9,D37.8,D49.0
intra-abdominal,1,Neoplasm, neoplastic,C76.2,C79.89,D09.8,D36.7,D48.7,D49.89
intracranial NEC,1,Neoplasm, neoplastic,C71.9,C79.31,,D33.2,D43.2,D49.6
intrahepatic(bile) duct,1,Neoplasm, neoplastic,C22.1,C78.7,D01.5,D13.4,D37.6,D49.0
intraocular,1,Neoplasm, neoplastic,C69.9-,C79.49,D09.2-,D31.9-,D48.7,D49.89
intraorbital,1,Neoplasm, neoplastic,C69.6-,C79.49,D09.2-,D31.6-,D48.7,D49.89
intrasellar,1,Neoplasm, neoplastic,C75.1,C79.89,D09.3,D35.2,D44.3,D49.7
intrathoracic(cavity) (organs),1,Neoplasm, neoplastic,C76.1,C79.89,D09.8,D15.9,D48.7,D49.89
specified NEC,2,intrathoracic(cavity) (organs),C76.1,C79.89,D09.8,D15.7,,
iris,1,Neoplasm, neoplastic,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
ischiorectal(fossa),1,Neoplasm, neoplastic,C76.3,C79.89,D09.8,D36.7,D48.7,D49.89
ischium,1,Neoplasm, neoplastic,C41.4,C79.51,,D16.8,D48.0,D49.2
island of Reil,1,Neoplasm, neoplastic,C71.0,C79.31,,D33.0,D43.0,D49.6
islands or islets of Langerhans,1,Neoplasm, neoplastic,C25.4,C78.89,D01.7,D13.7,D37.8,D49.0
isthmus uteri,1,Neoplasm, neoplastic,C54.0,C79.82,D07.0,D26.1,D39.0,D49.59
jaw,1,Neoplasm, neoplastic,C76.0,C79.89,D09.8,D36.7,D48.7,D49.89
bone,2,jaw,C41.1,C79.51,,D16.5-,D48.0,D49.2
lower,3,bone,C41.1,C79.51,,D16.5-,,
upper,3,bone,C41.0,C79.51,,D16.4-,,
carcinoma(any type) (lower) (upper),2,jaw,C76.0,C79.89,,,,
skin,2,jaw,C44.309,C79.2,D04.39,D23.39,D48.5,D49.2
soft tissues,2,jaw,C03.9,C79.89,D00.03,D10.39,D37.09,D49.0
lower,3,soft tissues,C03.1,C79.89,D00.03,D10.39,D37.09,D49.0
upper,3,soft tissues,C03.0,C79.89,D00.03,D10.39,D37.09,D49.0
jejunum,1,Neoplasm, neoplastic,C17.1,C78.4,D01.49,D13.39,D37.2,D49.0
joint NEC,1,Neoplasm, neoplastic,C41.9,C79.51,,D16.9-,D48.0,D49.2
acromioclavicular,2,joint NEC,C40.0-,C79.51,,D16.0-,,
bursa or synovial membrane,2,joint NEC,,,,,,
costovertebral,2,joint NEC,C41.3,C79.51,,D16.7,D48.0,D49.2
sternocostal,2,joint NEC,C41.3,C79.51,,D16.7,D48.0,D49.2
temporomandibular,2,joint NEC,C41.1,C79.51,,D16.5-,D48.0,D49.2
junction,1,Neoplasm, neoplastic,,,,,,
anorectal,2,junction,C21.8,C78.5,D01.3,D12.9,D37.8,D49.0
cardioesophageal,2,junction,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
esophagogastric,2,junction,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
gastroesophageal,2,junction,C16.0,C78.89,D00.2,D13.1,D37.1,D49.0
hard and soft palate,2,junction,C05.9,C79.89,D00.00,D10.39,D37.09,D49.0
ileocecal,2,junction,C18.0,C78.5,D01.0,D12.0,D37.4,D49.0
pelvirectal,2,junction,C19,C78.5,D01.1,D12.7,D37.5,D49.0
pelviureteric,2,junction,C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.59
rectosigmoid,2,junction,C19,C78.5,D01.1,D12.7,D37.5,D49.0
"squamocolumnar, of cervix",2,junction,C53.8,C79.82,D06.7,D26.0,D39.0,D49.59
Kaposi's sarcoma,1,Neoplasm, neoplastic,,,,,,
kidney(parenchymal),1,Neoplasm, neoplastic,C64.-,C79.0-,D09.19,D30.0-,D41.0-,D49.51-
calyx,2,kidney(parenchymal),C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
hilus,2,kidney(parenchymal),C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
pelvis,2,kidney(parenchymal),C65.-,C79.0-,D09.19,D30.1-,D41.1-,D49.51-
knee NEC,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
labia(skin),1,Neoplasm, neoplastic,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
majora,2,labia(skin),C51.0,C79.82,D07.1,D28.0,D39.8,D49.59
minora,2,labia(skin),C51.1,C79.82,D07.1,D28.0,D39.8,D49.59
labial,1,Neoplasm, neoplastic,C00.9,C79.89,D00.01,D10.0,D37.01,D49.0
sulcus(lower) (upper),2,labial,C06.1,C79.89,D00.02,D10.39,D37.09,D49.0
labium(skin),1,Neoplasm, neoplastic,C51.9,C79.82,D07.1,D28.0,D39.8,D49.59
majus,2,labium(skin),C51.0,C79.82,D07.1,D28.0,D39.8,D49.59
minus,2,labium(skin),C51.1,C79.82,D07.1,D28.0,D39.8,D49.59
lacrimal,1,Neoplasm, neoplastic,,,,,,
canaliculi,2,lacrimal,C69.5-,C79.49,D09.2-,D31.5-,D48.7,D49.89
duct(nasal),2,lacrimal,C69.5-,C79.49,D09.2-,D31.5-,D48.7,D49.89
gland,2,lacrimal,C69.5-,C79.49,D09.2-,D31.5-,D48.7,D49.89
punctum,2,lacrimal,C69.5-,C79.49,D09.2-,D31.5-,D48.7,D49.89
sac,2,lacrimal,C69.5-,C79.49,D09.2-,D31.5-,D48.7,D49.89
"Langerhans, islands or islets",1,Neoplasm, neoplastic,C25.4,C78.89,D01.7,D13.7,D37.8,D49.0
laryngopharynx,1,Neoplasm, neoplastic,C13.9,C79.89,D00.08,D10.7,D37.05,D49.0
"larynx, laryngeal NEC",1,Neoplasm, neoplastic,C32.9,C78.39,D02.0,D14.1,D38.0,D49.1
aryepiglottic fold,2,larynx, laryngeal NEC,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
cartilage(arytenoid) (cricoid) (cuneiform) (thyroid),2,larynx, laryngeal NEC,C32.3,C78.39,D02.0,D14.1,D38.0,D49.1
commissure(anterior) (posterior),2,larynx, laryngeal NEC,C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
extrinsic NEC,2,larynx, laryngeal NEC,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
meaning hypopharynx,3,extrinsic NEC,C13.9,C79.89,D00.08,D10.7,D37.05,D49.0
interarytenoid fold,2,larynx, laryngeal NEC,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
intrinsic,2,larynx, laryngeal NEC,C32.0,C78.39,D02.0,D14.1,D38.0,D49.1
overlapping lesion,2,larynx, laryngeal NEC,C32.8,,,,,
ventricular band,2,larynx, laryngeal NEC,C32.1,C78.39,D02.0,D14.1,D38.0,D49.1
leg NEC,1,Neoplasm, neoplastic,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
"lens, crystalline",1,Neoplasm, neoplastic,C69.4-,C79.49,D09.2-,D31.4-,D48.7,D49.89
lid(lower) (upper),1,Neoplasm, neoplastic,C44.10-,C79.2,D04.1-,D23.1-,D48.5,D49.2
basal cell carcinoma,2,lid(lower) (upper),C44.11-,,,,,
sebaceous cell,2,lid(lower) (upper),C44.13-,,,,,
specified type NEC,2,lid(lower) (upper),C44.19-,,,,,
squamous cell carcinoma,2,lid(lower) (upper),C44.12-,,,,,
ligament,1,Neoplasm, neoplastic,,,,,,
broad,2,ligament,C57.1,C79.82,D07.39,D28.2,D39.8,D49.59
Mackenrodt's,2,ligament,C57.7,C79.82,D07.39,D28.7,D39.8,D49.59
non-uterine,2,ligament,,,,,,
round,2,ligament,C57.2,C79.82,,D28.2,D39.8,D49.59
sacro-uterine,2,ligament,C57.3,C79.82,,D28.2,D39.8,D49.59
uterine,2,ligament,C57.3,C79.82,,D28.2,D39.8,D49.59
utero-ovarian,2,ligament,C57.7,C79.82,D07.39,D28.2,D39.8,D49.59
uterosacral,2,ligament,C57.3,C79.82,,D28.2,D39.8,D49.59
limb,1,Neoplasm, neoplastic,C76.8,C79.89,D04.8,D36.7,D48.7,D49.89
lower,2,limb,C76.5-,C79.89,D04.7-,D36.7,D48.7,D49.89
upper,2,limb,C76.4-,C79.89,D04.6-,D36.7,D48.7,D49.89
limbus of cornea,1,Neoplasm, neoplastic,C69.1-,C79.49,D09.2-,D31.1-,D48.7,D49.89
lingual NEC,1,Neoplasm, neoplastic,C02.9,C79.89,D00.07,D10.1,D37.02,D49.0
"lingula, lung",1,Neoplasm, neoplastic,C34.1-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
lip,1,Neoplasm, neoplastic,C00.9,C79.89,D00.01,D10.0,D37.01,D49.0
buccal aspect,2,lip,,,,,,
commissure,2,lip,C00.6,C79.89,D00.01,D10.0,D37.01,D49.0
external,2,lip,C00.2,C79.89,D00.01,D10.0,D37.01,D49.0
lower,3,external,C00.1,C79.89,D00.01,D10.0,D37.01,D49.0
upper,3,external,C00.0,C79.89,D00.01,D10.0,D37.01,D49.0
frenulum,2,lip,,,,,,
inner aspect,2,lip,,,,,,
internal,2,lip,C00.5,C79.89,D00.01,D10.0,D37.01,D49.0
lower,3,internal,C00.4,C79.89,D00.01,D10.0,D37.01,D49.0
upper,3,internal,C00.3,C79.89,D00.01,D10.0,D37.01,D49.0
lipstick area,2,lip,C00.2,C79.89,D00.01,D10.0,D37.01,D49.0
lower,3,lipstick area,C00.1,C79.89,D00.01,D10.0,D37.01,D49.0
upper,3,lipstick area,C00.0,C79.89,D00.01,D10.0,D37.01,D49.0
lower,2,lip,C00.1,C79.89,D00.01,D10.0,D37.01,D49.0
internal,3,lower,C00.4,C79.89,D00.01,D10.0,D37.01,D49.0
mucosa,2,lip,,,,,,
oral aspect,2,lip,,,,,,
overlapping lesion,2,lip,C00.8,,,,,
with oral cavity or pharynx,3,overlapping lesion,C14.8,,,,,
skin(commissure) (lower) (upper),2,lip,C44.00,C79.2,D04.0,D23.0,D48.5,D49.2
basal cell carcinoma,3,skin(commissure) (lower) (upper),C44.01,,,,,
specified type NEC,3,skin(commissure) (lower) (upper),C44.09,,,,,
squamous cell carcinoma,3,skin(commissure) (lower) (upper),C44.02,,,,,
upper,2,lip,C00.0,C79.89,D00.01,D10.0,D37.01,D49.0
internal,3,upper,C00.3,C79.89,D00.01,D10.0,D37.01,D49.0
vermilion border,2,lip,C00.2,C79.89,D00.01,D10.0,D37.01,D49.0
lower,3,vermilion border,C00.1,C79.89,D00.01,D10.0,D37.01,D49.0
upper,3,vermilion border,C00.0,C79.89,D00.01,D10.0,D37.01,D49.0
lipomatous,1,Neoplasm, neoplastic,,,,,,
liver,1,Neoplasm, neoplastic,C22.9,C78.7,D01.5,D13.4,D37.6,D49.0
primary,2,liver,C22.8,C78.7,D01.5,D13.4,D37.6,D49.0
lumbosacral plexus,1,Neoplasm, neoplastic,C47.5,C79.89,,D36.16,D48.2,D49.2
lung,1,Neoplasm, neoplastic,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
azygos lobe,2,lung,C34.1-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
carina,2,lung,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
hilus,2,lung,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
linqula,2,lung,C34.1-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
lobe NEC,2,lung,C34.9-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
lower lobe,2,lung,C34.3-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
main bronchus,2,lung,C34.0-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
mesothelioma,2,lung,,,,,,
middle lobe,2,lung,C34.2,C78.0-,D02.21,D14.31,D38.1,D49.1
overlapping lesion,2,lung,C34.8-,,,,,
upper lobe,2,lung,C34.1-,C78.0-,D02.2-,D14.3-,D38.1,D49.1
"lymph, lymphatic channel NEC",1,Neoplasm, neoplastic,C49.9,C79.89,,D21.9,D48.1,D49.2
gland(secondary),2,lymph, lymphatic channel NEC,,C77.9,,D36.0,D48.7,D49.89
abdominal,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
aortic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
arm,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
auricular(anterior) (posterior),3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
"axilla, axillary",3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
brachial,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
bronchial,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
bronchopulmonary,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
celiac,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
cervical,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
cervicofacial,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
Cloquet,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
colic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
common duct,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
cubital,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
diaphragmatic,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
"epigastric, inferior",3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
epitrochlear,3,gland(secondary),,C77.3,,D36.0,D48.7,D49.89
esophageal,3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
face,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
femoral,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
gastric,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
groin,3,gland(secondary),,C77.4,,D36.0,D48.7,D49.89
head,3,gland(secondary),,C77.0,,D36.0,D48.7,D49.89
hepatic,3,gland(secondary),,C77.2,,D36.0,D48.7,D49.89
hilar(pulmonary),3,gland(secondary),,C77.1,,D36.0,D48.7,D49.89
splenic,4,hilar(pulmonary),,C77.2,,D36.0,D48.7,D49.89
