Substance,Level,Parent,Poisoning Accidental (unintentional),Poisoning Intentional self-harm,Poisoning Assault,Poisoning Undetermined,Adverse effect,Underdosing
arseniureted,2,sulfide,T57.0X1,T57.0X2,T57.0X3,T57.0X4,,
sulfureted,1,Hydrogen,T59.6X1,T59.6X2,T59.6X3,T59.6X4,,
Hydromethylpyridine,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Hydromorphinol,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,,
Hydromorphinone,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Hydromorphone,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Hydromox,0,,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
Hydrophilic lotion,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
Hydroquinidine,0,,T46.2X1,T46.2X2,T46.2X3,T46.2X4,T46.2X5,T46.2X6
Hydroquinone,0,,T52.2X1,T52.2X2,T52.2X3,T52.2X4,,
vapor,1,Hydroquinone,T59.891,T59.892,T59.893,T59.894,,
Hydrosulfuric acid(gas),0,,T59.6X1,T59.6X2,T59.6X3,T59.6X4,,
Hydrotalcite,0,,T47.1X1,T47.1X2,T47.1X3,T47.1X4,T47.1X5,T47.1X6
Hydrous wool fat,0,,T49.3X1,T49.3X2,T49.3X3,T49.3X4,T49.3X5,T49.3X6
"Hydroxide, caustic",0,,T54.3X1,T54.3X2,T54.3X3,T54.3X4,,
Hydroxocobalamin,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Hydroxyamphetamine,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Hydroxycarbamide,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Hydroxychloroquine,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Hydroxydihydrocodeinone,0,,T40.2X1,T40.2X2,T40.2X3,T40.2X4,T40.2X5,T40.2X6
Hydroxyestrone,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Hydroxyethyl starch,0,,T45.8X1,T45.8X2,T45.8X3,T45.8X4,T45.8X5,T45.8X6
Hydroxymethylpenta-none,0,,T52.4X1,T52.4X2,T52.4X3,T52.4X4,,
Hydroxyphenamate,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Hydroxyphenylbutazone,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Hydroxyprogesterone,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
caproate,1,Hydroxyprogesterone,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Hydroxyquinoline(derivatives) NEC,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Hydroxystilbamidine,0,,T37.3X1,T37.3X2,T37.3X3,T37.3X4,T37.3X5,T37.3X6
Hydroxytoluene(nonmedicinal),0,,T54.0X1,T54.0X2,T54.0X3,T54.0X4,,
medicinal,1,Hydroxytoluene(nonmedicinal),T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Hydroxyurea,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Hydroxyzine,0,,T43.591,T43.592,T43.593,T43.594,T43.595,T43.596
Hyoscine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Hyoscyamine,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Hyoscyamus,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
dry extract,1,Hyoscyamus,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Hypaque,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Hypertussis,0,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
Hypnotic,0,,T42.71,T42.72,T42.73,T42.74,T42.75,T42.76
anticonvulsant,1,Hypnotic,T42.71,T42.72,T42.73,T42.74,T42.75,T42.76
specified NEC,1,Hypnotic,T42.6X1,T42.6X2,T42.6X3,T42.6X4,T42.6X5,T42.6X6
Hypochlorite,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
"Hypophysis, posterior",0,,T38.891,T38.892,T38.893,T38.894,T38.895,T38.896
Hypotensive NEC,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Hypromellose,0,,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Ibacitabine,0,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Ibopamine,0,,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
Ibufenac,0,,T39.311,T39.312,T39.313,T39.314,T39.315,T39.316
Ibuprofen,0,,T39.311,T39.312,T39.313,T39.314,T39.315,T39.316
Ibuproxam,0,,T39.311,T39.312,T39.313,T39.314,T39.315,T39.316
Ibuterol,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Ichthammol,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Ichthyol,0,,T49.4X1,T49.4X2,T49.4X3,T49.4X4,T49.4X5,T49.4X6
Idarubicin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Idrocilamide,0,,T42.8X1,T42.8X2,T42.8X3,T42.8X4,T42.8X5,T42.8X6
Ifenprodil,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Ifosfamide,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Iletin,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Ilex,0,,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Illuminating gas(after combustion),0,,T58.11,T58.12,T58.13,T58.14,,
prior to combustion,1,Illuminating gas(after combustion),T59.891,T59.892,T59.893,T59.894,,
Ilopan,0,,T45.2X1,T45.2X2,T45.2X3,T45.2X4,T45.2X5,T45.2X6
Iloprost,0,,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Ilotycin,0,,T36.3X1,T36.3X2,T36.3X3,T36.3X4,T36.3X5,T36.3X6
ophthalmic preparation,1,Ilotycin,T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
topical NEC,1,Ilotycin,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Imidazole-4-carboxamide,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Imipenem,0,,T36.0X1,T36.0X2,T36.0X3,T36.0X4,T36.0X5,T36.0X6
Imipramine,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Iminostilbene,0,,T42.1X1,T42.1X2,T42.1X3,T42.1X4,T42.1X5,T42.1X6
lmmu-G,0,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
Immuglobin,0,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
Immune,0,,,,,,,
globulin,1,Immune,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
serum globulin,1,Immune,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
Immunoglobin human(intravenous) (normal),0,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
unmodified,1,Immunoglobin human(intravenous) (normal),T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
Immunosuppressive drug,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Immu-tetanus,0,,T50.Z11,T50.Z12,T50.Z13,T50.Z14,T50.Z15,T50.Z16
Indalpine,0,,T43.221,T43.222,T43.223,T43.224,T43.225,T43.226
Indanazoline,0,,T48.5X1,T48.5X2,T48.5X3,T48.5X4,T48.5X5,T48.5X6
Indandione(derivatives),0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Indapamide,0,,T46.5X1,T46.5X2,T46.5X3,T46.5X4,T46.5X5,T46.5X6
Indendione(derivatives),0,,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Indenolol,0,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
Inderal,0,,T44.7X1,T44.7X2,T44.7X3,T44.7X4,T44.7X5,T44.7X6
Indian,0,,,,,,,
hemp,1,Indian,T40.711,T40.712,T40.713,T40.714,T40.715,T40.716
tobacco,1,Indian,T62.2X1,T62.2X2,T62.2X3,T62.2X4,,
Indigo carmine,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Indobufen,0,,T45.521,T45.522,T45.523,T45.524,T45.525,T45.526
Indocin,0,,T39.2X1,T39.2X2,T39.2X3,T39.2X4,T39.2X5,T39.2X6
Indocyanine green,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Indometacin,0,,T39.391,T39.392,T39.393,T39.394,T39.395,T39.396
Indomethacin,0,,T39.391,T39.392,T39.393,T39.394,T39.395,T39.396
farnesil,1,Indomethacin,T39.4X1,T39.4X2,T39.4X3,T39.4X4,T39.4X5,T39.4X6
Indoramin,0,,T44.6X1,T44.6X2,T44.6X3,T44.6X4,T44.6X5,T44.6X6
Industrial,0,,,,,,,
alcohol,1,Industrial,T51.0X1,T51.0X2,T51.0X3,T51.0X4,,
fumes,1,Industrial,T59.891,T59.892,T59.893,T59.894,,
solvents(fumes) (vapors),1,Industrial,T52.91,T52.92,T52.93,T52.94,,
Influenza vaccine,0,,T50.B91,T50.B92,T50.B93,T50.B94,T50.B95,T50.B96
Ingested substance NEC,0,,T65.91,T65.92,T65.93,T65.94,,
INH,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
"Inhalation, gas(noxious)",0,,,,,,,
Inhibitor,0,,,,,,,
angiotensin-converting enzyme,1,Inhibitor,T46.4X1,T46.4X2,T46.4X3,T46.4X4,T46.4X5,T46.4X6
carbonic anhydrase,1,Inhibitor,T50.2X1,T50.2X2,T50.2X3,T50.2X4,T50.2X5,T50.2X6
fibrinolysis,1,Inhibitor,T45.621,T45.622,T45.623,T45.624,T45.625,T45.626
monoamine oxidase NEC,1,Inhibitor,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
hydrazine,2,monoamine oxidase NEC,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
postsynaptic,1,Inhibitor,T43.8X1,T43.8X2,T43.8X3,T43.8X4,T43.8X5,T43.8X6
prothrombin synthesis,1,Inhibitor,T45.511,T45.512,T45.513,T45.514,T45.515,T45.516
Ink,0,,T65.891,T65.892,T65.893,T65.894,,
Inorganic substance NEC,0,,T57.91,T57.92,T57.93,T57.94,,
Inosine pranobex,0,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Inositol,0,,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
nicotinate,1,Inositol,T46.7X1,T46.7X2,T46.7X3,T46.7X4,T46.7X5,T46.7X6
Inproquone,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
"Insect(sting), venomous",0,,T63.481,T63.482,T63.483,T63.484,,
ant,1,Insect(sting), venomous,T63.421,T63.422,T63.423,T63.424,,
bee,1,Insect(sting), venomous,T63.441,T63.442,T63.443,T63.444,,
caterpillar,1,Insect(sting), venomous,T63.431,T63.432,T63.433,T63.434,,
hornet,1,Insect(sting), venomous,T63.451,T63.452,T63.453,T63.454,,
wasp,1,Insect(sting), venomous,T63.461,T63.462,T63.463,T63.464,,
Insecticide NEC,0,,T60.91,T60.92,T60.93,T60.94,,
carbamate,1,Insecticide NEC,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
chlorinated,1,Insecticide NEC,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
mixed,1,Insecticide NEC,T60.91,T60.92,T60.93,T60.94,,
organochlorine,1,Insecticide NEC,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
organophosphorus,1,Insecticide NEC,T60.0X1,T60.0X2,T60.0X3,T60.0X4,,
Insular tissue extract,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
defalan,1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
human,1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
"injection, soluble",1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
biphasic,2,injection, soluble,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
intermediate acting,1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
protamine zinc,1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
slow acting,1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
zinc,1,Insulin(amorphous) (globin) (isophane) (Lente) (NPH) (Semilente) (Ultralente),,,,,,
protamine injection,2,zinc,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
suspension(amorphous) (crystalline),2,zinc,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Interferon(alpha) (beta) (gamma),0,,T37.5X1,T37.5X2,T37.5X3,T37.5X4,T37.5X5,T37.5X6
Intestinal motility control drug,0,,T47.6X1,T47.6X2,T47.6X3,T47.6X4,T47.6X5,T47.6X6
biological,1,Intestinal motility control drug,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Intranarcon,0,,T41.1X1,T41.1X2,T41.1X3,T41.1X4,T41.1X5,T41.1X6
Intravenous,0,,,,,,,
amino acids,1,Intravenous,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
fat suspension,1,Intravenous,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
Inulin,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Invert sugar,0,,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
Inza,0,,,,,,,
Iobenzamic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iocarmic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iocetamic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodamide,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodide NEC,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
mercury(ointment),1,Iodide NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
methylate,1,Iodide NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
potassium(expectorant) NEC,1,Iodide NEC,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
Iodinated,0,,,,,,,
contrast medium,1,Iodinated,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
glycerol,1,Iodinated,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
human serum albumin(131I),1,Iodinated,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
"Iodine(antiseptic, external) (tincture) NEC",0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
125,1,Iodine(antiseptic, external) (tincture) NEC,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
therapeutic,2,125,T50.991,T50.992,T50.993,T50.994,T50.995,T50.996
131,1,Iodine(antiseptic, external) (tincture) NEC,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
therapeutic,2,131,T38.2X1,T38.2X2,T38.2X3,T38.2X4,T38.2X5,T38.2X6
diagnostic,1,Iodine(antiseptic, external) (tincture) NEC,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
for thyroid conditions(antithyroid),1,Iodine(antiseptic, external) (tincture) NEC,T38.2X1,T38.2X2,T38.2X3,T38.2X4,T38.2X5,T38.2X6
solution,1,Iodine(antiseptic, external) (tincture) NEC,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
vapor,1,Iodine(antiseptic, external) (tincture) NEC,T59.891,T59.892,T59.893,T59.894,,
Iodipamide,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodized(poppy seed) oil,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodobismitol,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Iodochlorhydroxyquin,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
topical,1,Iodochlorhydroxyquin,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Iodochlorhydroxyquinoline,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Iodocholesterol(131I),0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodoform,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Iodohippuric acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodopanoic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodophthalein(sodium),0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodopyracet,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iodoquinol,0,,T37.8X1,T37.8X2,T37.8X3,T37.8X4,T37.8X5,T37.8X6
Iodoxamic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iofendylate,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ioglycamic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iohexol,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ion exchange resin,0,,,,,,,
anion,1,Ion exchange resin,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
cation,1,Ion exchange resin,T50.3X1,T50.3X2,T50.3X3,T50.3X4,T50.3X5,T50.3X6
cholestyramine,1,Ion exchange resin,T46.6X1,T46.6X2,T46.6X3,T46.6X4,T46.6X5,T46.6X6
intestinal,1,Ion exchange resin,T47.8X1,T47.8X2,T47.8X3,T47.8X4,T47.8X5,T47.8X6
Iopamidol,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iopanoic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iophenoic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
"Iopodate, sodium",0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iopodic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iopromide,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iopydol,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iotalamic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iothalamate,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iothiouracil,0,,T38.2X1,T38.2X2,T38.2X3,T38.2X4,T38.2X5,T38.2X6
Iotrol,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iotrolan,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iotroxate,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iotroxic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ioversol,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ioxaglate,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ioxaglic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ioxitalamic acid,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ipecac,0,,T47.7X1,T47.7X2,T47.7X3,T47.7X4,T47.7X5,T47.7X6
Ipecacuanha,0,,T48.4X1,T48.4X2,T48.4X3,T48.4X4,T48.4X5,T48.4X6
"Ipodate, calcium",0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Ipral,0,,T42.3X1,T42.3X2,T42.3X3,T42.3X4,T42.3X5,T42.3X6
Ipratropium(bromide),0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Ipriflavone,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Iprindole,0,,T43.011,T43.012,T43.013,T43.014,T43.015,T43.016
Iproclozide,0,,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
Iprofenin,0,,T50.8X1,T50.8X2,T50.8X3,T50.8X4,T50.8X5,T50.8X6
Iproheptine,0,,T49.2X1,T49.2X2,T49.2X3,T49.2X4,T49.2X5,T49.2X6
Iproniazid,0,,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
Iproplatin,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Iproveratril,0,,T46.1X1,T46.1X2,T46.1X3,T46.1X4,T46.1X5,T46.1X6
Iron(compounds) (medicinal) NEC,0,,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
ammonium,1,Iron(compounds) (medicinal) NEC,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
dextran injection,1,Iron(compounds) (medicinal) NEC,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
nonmedicinal,1,Iron(compounds) (medicinal) NEC,T56.891,T56.892,T56.893,T56.894,,
salts,1,Iron(compounds) (medicinal) NEC,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
sorbitex,1,Iron(compounds) (medicinal) NEC,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
sorbitol citric acid complex,1,Iron(compounds) (medicinal) NEC,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
Irrigating fluid(vaginal),0,,T49.8X1,T49.8X2,T49.8X3,T49.8X4,T49.8X5,T49.8X6
eye,1,Irrigating fluid(vaginal),T49.5X1,T49.5X2,T49.5X3,T49.5X4,T49.5X5,T49.5X6
Isepamicin,0,,T36.5X1,T36.5X2,T36.5X3,T36.5X4,T36.5X5,T36.5X6
Isoaminile(citrate),0,,T48.3X1,T48.3X2,T48.3X3,T48.3X4,T48.3X5,T48.3X6
Isoamyl nitrite,0,,T46.3X1,T46.3X2,T46.3X3,T46.3X4,T46.3X5,T46.3X6
Isobenzan,0,,T60.1X1,T60.1X2,T60.1X3,T60.1X4,,
Isobutyl acetate,0,,T52.8X1,T52.8X2,T52.8X3,T52.8X4,,
Isocarboxazid,0,,T43.1X1,T43.1X2,T43.1X3,T43.1X4,T43.1X5,T43.1X6
Isoconazole,0,,T49.0X1,T49.0X2,T49.0X3,T49.0X4,T49.0X5,T49.0X6
Isocyanate,0,,T65.0X1,T65.0X2,T65.0X3,T65.0X4,,
Isoephedrine,0,,T44.991,T44.992,T44.993,T44.994,T44.995,T44.996
Isoetarine,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Isoethadione,0,,T42.2X1,T42.2X2,T42.2X3,T42.2X4,T42.2X5,T42.2X6
Isoetharine,0,,T44.5X1,T44.5X2,T44.5X3,T44.5X4,T44.5X5,T44.5X6
Isoflurane,0,,T41.0X1,T41.0X2,T41.0X3,T41.0X4,T41.0X5,T41.0X6
Isoflurophate,0,,T44.0X1,T44.0X2,T44.0X3,T44.0X4,T44.0X5,T44.0X6
"Isomaltose, ferric complex",0,,T45.4X1,T45.4X2,T45.4X3,T45.4X4,T45.4X5,T45.4X6
Isometheptene,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Isoniazid,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
with,1,Isoniazid,,,,,,
rifampicin,2,with,T36.6X1,T36.6X2,T36.6X3,T36.6X4,T36.6X5,T36.6X6
thioacetazone,2,with,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Isonicotinic acid hydrazide,0,,T37.1X1,T37.1X2,T37.1X3,T37.1X4,T37.1X5,T37.1X6
Isonipecaine,0,,T40.491,T40.492,T40.493,T40.494,T40.495,T40.496
Isopentaquine,0,,T37.2X1,T37.2X2,T37.2X3,T37.2X4,T37.2X5,T37.2X6
Isophane insulin,0,,T38.3X1,T38.3X2,T38.3X3,T38.3X4,T38.3X5,T38.3X6
Isophorone,0,,T65.891,T65.892,T65.893,T65.894,,
Isophosphamide,0,,T45.1X1,T45.1X2,T45.1X3,T45.1X4,T45.1X5,T45.1X6
Isopregnenone,0,,T38.5X1,T38.5X2,T38.5X3,T38.5X4,T38.5X5,T38.5X6
Isoprenaline,0,,T48.6X1,T48.6X2,T48.6X3,T48.6X4,T48.6X5,T48.6X6
Isopromethazine,0,,T43.3X1,T43.3X2,T43.3X3,T43.3X4,T43.3X5,T43.3X6
Isopropamide,0,,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
iodide,1,Isopropamide,T44.3X1,T44.3X2,T44.3X3,T44.3X4,T44.3X5,T44.3X6
Isopropanol,0,,T51.2X1,T51.2X2,T51.2X3,T51.2X4,,
Isopropyl,0,,,,,,,
